,,,,,,,,1-S01A,1-S01B,1-S01C,1-S01D,1-S02A,1-S02B,1-S02C,1-S02D,1-S03A,1-S03B,1-S03C,1-S03D,1-S04A,1-S04B,1-S04C,1-S04D,1-S05A,1-S05B,1-S05C,1-S05D,1-S06A,1-S06B,1-S06C,1-S06D,1-S07A,1-S07B,1-S07C,1-S07D,1-S08A,1-S08B,1-S08C,1-S08D,1-S09A,1-S09B,1-S09C,1-S09D,1-S10A,1-S10B,1-S10C,1-S10D,1-S11A,1-S11B,1-S11C,1-S11D,2-S12A,2-S12B,2-S12C,2-S13A,2-S13B,2-S13C,2-S13D,2-S14A,2-S14B,2-S14C,2-S14D,2-S15A,2-S15B,2-S15C,2-S15D,2-S15E,2-S15F,2-S16A,2-S16B,2-S16C,2-S16D,2-S17A,2-S17B,2-S17C,2-S17D,2-S18A,2-S18B,2-S18C,2-S18D,2-S19A,2-S19B,2-S19C,3-S01a,3-S01b,3-S01c,3-S01d,3-S02a,3-S02b,3-S02c,3-S02d,3-S03a,3-S03b,3-S03c,3-S03d,3-S04a,3-S04b,3-S04c,3-S04d,3-S05a,3-S05b,3-S05c,3-S05d,3-S06a,3-S06b,3-S06c,3-S06d,3-S07a,3-S07b,3-S07c,3-S07d,3-S08a,3-S08b,3-S08c,3-S08d,3-S09a,3-S09b,3-S09c,3-S09d,3-S10a,3-S10b,3-S10c,3-S10d,3-S11a,3-S11b,3-S11c,3-S11d,3-S12a,3-S12b,3-S12c,3-S12d,3-S13a,3-S13b,3-S13c,3-S13d,3-S14a,3-S14b,3-S14c,3-S14d,3-S14e,3-S14f,3-S14g,3-S14h,3-S15a,3-S15b,3-S15c,3-S15d,3-S16a,3-S16b,3-S16c,3-S16d,3-S17A,3-S17b,3-S17c,3-S17d,3-S18a,3-S18b,3-S18c,3-S18d,3-S19a,3-S19b,3-S19c,3-S19d,3-S20a,3-S20b,3-S20c,3-S20d,3-S21a,3-S21b,3-S21c,3-S21d
OTU337,MiSeq18,Actinopterygii,Siluriformes,Auchenipteridae,Tympanopleura,Tympanopleura atronasus,99.02,0,0,267,0,542,0,144,560,0,0,155,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,274,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,93,0,0,0,0,523,83,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,37,0,0,0,0
OTU42,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,Callichthys,Callichthys callichthys,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,24,21,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1074,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras rabauti,99.038,0,0,0,166,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,23,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
OTU1223,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,Dianema,Dianema longibarbus,100,565,0,1728,1303,0,106,59,176,4332,1205,3136,3041,1886,3696,1387,5583,181,1547,905,682,14343,228,3562,100,874,1802,1471,1166,416,68,0,212,0,0,0,0,0,0,0,0,2053,0,867,382,0,0,0,0,318,0,0,781,0,0,0,0,0,0,12808,0,1613,4640,0,1779,118,0,0,0,186,0,0,232,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,25,71,1703,123,71,0,21,102,313,198,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,585,0,456,0,0,468,0,526,673,236,303,0,509,508,667,546,391,215,262,0
OTU1032,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,Hoplosternum,Hoplosternum littorale,100,0,0,0,0,0,0,0,0,107,247,251,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,84,0,0,0,18,53,0,0,0,0,435,0,0,75,0,0,0,0,0,0,0,0,215,0,0,0,83,0,0,0,0,0,0,89,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1126,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,Megalechis,Megalechis picta,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1266,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,,,,0,0,68,78,0,0,0,0,267,90,232,192,164,338,127,387,0,201,125,116,1418,0,346,0,0,122,111,0,45,0,0,0,0,0,0,0,0,0,0,0,236,0,112,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,1942,0,194,416,0,104,0,0,0,0,0,0,0,40,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,17,202,28,0,0,0,0,78,38,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,56,0,0,0,0,28,87,0,33,0,72,46,51,63,41,0,37,0
OTU1576,MiSeq18,Actinopterygii,Siluriformes,Callichthyidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,213,0,0,0,0,0,0,0,0,96,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
OTU246,MiSeq23,Actinopterygii,Siluriformes,Callichthyidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU622,MiSeq23,Actinopterygii,Siluriformes,Callichthyidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU949,MiSeq27,Actinopterygii,Siluriformes,Callichthyidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1190,MiSeq18,Actinopterygii,Siluriformes,Cetopsidae,Cetopsis,Cetopsis coecutiens,100,632,379,660,0,0,0,88,0,0,106,208,0,523,0,368,0,0,0,0,0,899,0,528,0,292,0,0,0,0,114,0,267,0,0,0,1241,0,0,0,319,0,0,0,0,0,0,280,0,0,0,0,0,0,1934,505,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,21,0,47,0,0,0,0,0,0,0,402,216,43,0,97,0,0,0,0,99,23,54,0,0,51,32,116,0,1189,851,0,0,610,0,0,0,460,214,0,0,0,1603,0,0,0,0,0,0,924,479,122,402,1164,1064,0,0,296,0,0,7238,0,466,0,0,94,0,611,89,0,0,0,222
OTU1639,MiSeq27,Actinopterygii,Siluriformes,Cetopsidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,253,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1105,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Acanthodoras,Acanthodoras cataphractus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,159,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0
OTU125,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Acanthodoras,Acanthodoras spinosissimus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,127,29,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,276,414,0
OTU87,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Agamyxis,Agamyxis pectinifrons,100,0,0,0,0,0,0,0,270,0,68,183,0,0,245,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,570,0,0,0,0,0,0,99,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,20,0,0,0,0,54,105,61,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
OTU127,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Amblydoras,Amblydoras [nauticus],99.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,59,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU746,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Amblydoras,Amblydoras cf. monitor,99.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1327,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Amblydoras,Amblydoras gonzalezi,99.038,0,0,0,0,0,0,0,0,246,0,0,0,264,1038,2105,0,448,178,104,527,0,141,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,268,0,0,0,0,33,0,0,0,0,0,61,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,38,44,0,45,48,23,182,0,251,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,249,0,0,0,0,0,0,0,236
OTU313,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Amblydoras,Amblydoras nauticus,99.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
OTU148,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Anadoras,Anadoras grypus,100,0,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,82,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69,58,84,0,0,51,234,112,25,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU780,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Hypodoras,Hypodoras forficulatus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1278,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Megalodoras,Megalodoras uranoscopus,99.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,233,0,0,0,1203,102,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1606
OTU1207,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Ossancora,Ossancora punctata,100,73,0,0,0,0,0,0,0,115,0,0,658,0,64,207,1480,0,234,606,382,655,198,657,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,408,0,0,0,0,0,356,0,0,0,465,0,0,0,712,568,0,0,1122,0,0,0,0,44,0,0,0,773,2680,815,1564,165,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,34,32,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0
OTU1318,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Oxydoras,Oxydoras niger,100,0,0,341,0,59,0,0,62,0,0,244,0,0,0,0,0,0,0,0,147,0,336,1396,488,0,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,0,389,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,354,0,0,0,0,0,0,0,0,0,325,76,0,27,48,100,129,107,176,184,63,527,480,132,305,0,0,0,0,0,40,80,31,0,0,0,0,49,157,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,43,0,0,186,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,202,0,649,0,662,34,0,0,153,0,0,0,0
OTU62,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Oxydoras,Oxydoras niger,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,205,58,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU132,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Physopyxis,Physopyxis lyra,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,51,0,0,0,0
OTU1236,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Pterodoras,Pterodoras granulosus,100,1080,673,2207,1387,1328,1784,837,3376,1245,1359,1763,2303,1344,848,517,1079,1085,1183,885,760,232,0,1511,0,7870,16076,2472,884,334,952,1121,795,224,524,529,0,0,1501,1509,0,34404,15305,12441,8814,364,433,327,0,0,0,0,39,1246,0,0,0,0,0,0,403,0,0,0,0,0,2964,506,868,268,404,444,474,0,1687,1961,5873,0,0,0,0,0,0,0,0,0,0,0,0,56,48,130,0,0,51,744,3566,109,296,229,130,0,1650,447,1200,934,142,2871,0,431,679,88,344,446,0,169,0,1957,415,761,45,513,4669,1096,2423,3609,2613,3226,4304,1550,1448,4654,7474,4720,3213,5519,11743,1087,5502,5905,3573,5574,402,6436,6503,16566,0,2178,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0
OTU1273,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Rhinodoras,Rhinodoras boehlkei,100,0,436,0,0,0,163,0,0,0,0,0,0,921,0,319,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161,580,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,502,0,0,0,0,0,0,0,0,0,0,0,606,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU557,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Tenellus,Tenellus trimaculatus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0
OTU1149,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Trachydoras,Trachydoras nattereri,100,0,0,0,0,0,0,0,59,0,0,222,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,143,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,428,0,0,28,38,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,483,70,33,41,251,36,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
OTU408,MiSeq27,Actinopterygii,Siluriformes,Doradidae,Trachydoras,Trachydoras nattereri,99.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU94,MiSeq18,Actinopterygii,Siluriformes,Doradidae,Trachydoras,Trachydoras steindachneri,100,0,0,0,0,0,69,163,0,0,0,0,0,0,0,0,114,0,121,199,0,397,137,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,3093,1340,1599,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,856,84,0,0,838,0,118,0,0,0,0
